"countyCode","population","total.Under.5.years","percent.Under.5.years","total.5.to.9.years","percent.5.to.9.years","total.10.to.14.years","percent.10.to.14.years","total.15.to.19.years","percent.15.to.19.years","total.20.to.24.years","percent.20.to.24.years","total.25.to.29.years","percent.25.to.29.years","total.30.to.34.years","percent.30.to.34.years","total.35.to.39.years","percent.35.to.39.years","total.40.to.44.years","percent.40.to.44.years","total.45.to.49.years","percent.45.to.49.years","total.50.to.54.years","percent.50.to.54.years","total.55.to.59.years","percent.55.to.59.years","total.60.to.64.years","percent.60.to.64.years","total.65.to.69.years","percent.65.to.69.years","total.70.to.74.years","percent.70.to.74.years","total.75.to.79.years","percent.75.to.79.years","total.80.to.84.years","percent.80.to.84.years","total.85.years.and.over","percent.85.years.and.over"
"700","20177",177499,10685,6,11135,6.3,12767,7.2,12029,6.8,10581,6,10448,5.9,10359,5.8,12509,7,9841,5.5,10593,6,10161,5.7,10849,6.1,12766,7.2,12909,7.3,6426,3.6,5705,3.2,4121,2.3,3615,2
"701","21067",323780,19582,6,19326,6,18240,5.6,20577,6.4,34856,10.8,27280,8.4,22429,6.9,24581,7.6,17968,5.5,19222,5.9,18797,5.8,19681,6.1,18282,5.6,15345,4.7,10170,3.1,8238,2.5,4728,1.5,4478,1.4
"702","22017",242922,15785,6.5,14798,6.1,17888,7.4,13947,5.7,15588,6.4,17359,7.1,16251,6.7,16793,6.9,12437,5.1,13830,5.7,14209,5.8,16424,6.8,15993,6.6,15666,6.4,8373,3.4,7013,2.9,5357,2.2,5211,2.1
"703","22079",130562,8832,6.8,9564,7.3,8280,6.3,9088,7,7164,5.5,9480,7.3,8045,6.2,7940,6.1,8310,6.4,7185,5.5,8187,6.3,8962,6.9,8251,6.3,6357,4.9,6168,4.7,3648,2.8,3047,2.3,2054,1.6
"704","26147",159337,8372,5.3,7787,4.9,10166,6.4,10108,6.3,8662,5.4,9002,5.6,8291,5.2,8765,5.5,9732,6.1,10842,6.8,12175,7.6,12752,8,12670,8,9853,6.2,7989,5,6231,3.9,3133,2,2807,1.8
"705","27171",136349,9381,6.9,9870,7.2,12182,8.9,9816,7.2,6864,5,7622,5.6,8621,6.3,8484,6.2,10195,7.5,9692,7.1,9656,7.1,9839,7.2,7005,5.1,5606,4.1,4609,3.4,3497,2.6,2010,1.5,1400,1
"706","29095",700307,46417,6.6,46624,6.7,45392,6.5,42204,6,41762,6,58188,8.3,51523,7.4,48038,6.9,40805,5.8,41674,6,41801,6,46600,6.7,44539,6.4,32898,4.7,28060,4,18659,2.7,11375,1.6,13748,2
"707","36051",63227,2757,4.4,3095,4.9,3139,5,6093,9.6,5232,8.3,3610,5.7,3379,5.3,3192,5,3408,5.4,3981,6.3,4524,7.2,4829,7.6,4871,7.7,3165,5,3297,5.2,2019,3.2,1620,2.6,1016,1.6
"708","36103",1481093,79249,5.4,80024,5.4,94303,6.4,97496,6.6,95867,6.5,92293,6.2,83263,5.6,84000,5.7,89904,6.1,102852,6.9,116313,7.9,114650,7.7,100797,6.8,72299,4.9,68169,4.6,47481,3.2,31030,2.1,31103,2.1
"709","40027",281669,15126,5.4,17915,6.4,16897,6,21423,7.6,26558,9.4,25379,9,20132,7.1,21721,7.7,15582,5.5,16479,5.9,14621,5.2,18912,6.7,13616,4.8,11434,4.1,11289,4,7246,2.6,3513,1.2,3826,1.4
